isolateAccession,ST,ST,,isolateAccession,Source,Source,,isolateAccession,State,State,,isolateAccession,Year,Year,,isolateAccession,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila LG57 plasmid pLG57,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k,,,,isolateAccession,CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,,,,,,,isolateAccession,,
C175-S_IN-2009-CS-ST222,#3c6ff8,COL#3c6ff8,,C175-S_IN-2009-CS-ST222,#800080,COL#800080,,C175-S_IN-2009-CS-ST222,#e6194B,COL#e6194B,,C175-S_IN-2009-CS-ST222,#737373,COL#737373,,C175-S_IN-2009-CS-ST222,0,0,0,0,0,0,"C175-S_IN-2009-CS-ST222,0,0,0,0,0,0","C175-S_IN-2009-CS-ST222,0,0,0,0,0,0",,C175-S_IN-2009-CS-ST222,0,1,0,0,,"C175-S_IN-2009-CS-ST222,0,1,0,0","C175-S_IN-2009-CS-ST222,0,1,0,0",,,,C175-S_IN-2009-CS-ST222,#808000,COL#808000
C176-S_RI-2005-CS-ST213,#e41a1c,COL#e41a1c,,C176-S_RI-2005-CS-ST213,#800080,COL#800080,,C176-S_RI-2005-CS-ST213,#dcbeff,COL#dcbeff,,C176-S_RI-2005-CS-ST213,#737373,COL#737373,,C176-S_RI-2005-CS-ST213,0,0,0,0,100,0,"C176-S_RI-2005-CS-ST213,0,0,0,0,100,0","C176-S_RI-2005-CS-ST213,0,0,0,0,100,0",,C176-S_RI-2005-CS-ST213,0,1,0,0,,"C176-S_RI-2005-CS-ST213,0,1,0,0","C176-S_RI-2005-CS-ST213,0,1,0,0",,,,C176-S_RI-2005-CS-ST213,#808000,COL#808000
C177-S_IL-2006-CS-ST213,#e41a1c,COL#e41a1c,,C177-S_IL-2006-CS-ST213,#800080,COL#800080,,C177-S_IL-2006-CS-ST213,#000075,COL#000075,,C177-S_IL-2006-CS-ST213,#969696,COL#969696,,C177-S_IL-2006-CS-ST213,100,0,0,0,0,0,"C177-S_IL-2006-CS-ST213,100,0,0,0,0,0","C177-S_IL-2006-CS-ST213,100,0,0,0,0,0",,C177-S_IL-2006-CS-ST213,0,1,0,0,,"C177-S_IL-2006-CS-ST213,0,1,0,0","C177-S_IL-2006-CS-ST213,0,1,0,0",,,,C177-S_IL-2006-CS-ST213,#808000,COL#808000
C178-S_CT-2006-CS-ST213,#e41a1c,COL#e41a1c,,C178-S_CT-2006-CS-ST213,#800080,COL#800080,,C178-S_CT-2006-CS-ST213,#469990,COL#469990,,C178-S_CT-2006-CS-ST213,#737373,COL#737373,,C178-S_CT-2006-CS-ST213,0,0,0,0,0,0,"C178-S_CT-2006-CS-ST213,0,0,0,0,0,0","C178-S_CT-2006-CS-ST213,0,0,0,0,0,0",,C178-S_CT-2006-CS-ST213,0,1,0,0,,"C178-S_CT-2006-CS-ST213,0,1,0,0","C178-S_CT-2006-CS-ST213,0,1,0,0",,,,C178-S_CT-2006-CS-ST213,#808000,COL#808000
C179-S_ME-2007-CS-ST213,#e41a1c,COL#e41a1c,,C179-S_ME-2007-CS-ST213,#800080,COL#800080,,C179-S_ME-2007-CS-ST213,#3cb44b,COL#3cb44b,,C179-S_ME-2007-CS-ST213,#737373,COL#737373,,C179-S_ME-2007-CS-ST213,0,0,0,0,0,0,"C179-S_ME-2007-CS-ST213,0,0,0,0,0,0","C179-S_ME-2007-CS-ST213,0,0,0,0,0,0",,C179-S_ME-2007-CS-ST213,0,1,0,0,,"C179-S_ME-2007-CS-ST213,0,1,0,0","C179-S_ME-2007-CS-ST213,0,1,0,0",,,,C179-S_ME-2007-CS-ST213,#808000,COL#808000
C181-S_IL-2006-CS-ST222,#3c6ff8,COL#3c6ff8,,C181-S_IL-2006-CS-ST222,#800080,COL#800080,,C181-S_IL-2006-CS-ST222,#000075,COL#000075,,C181-S_IL-2006-CS-ST222,#969696,COL#969696,,C181-S_IL-2006-CS-ST222,0,0,0,0,0,0,"C181-S_IL-2006-CS-ST222,0,0,0,0,0,0","C181-S_IL-2006-CS-ST222,0,0,0,0,0,0",,C181-S_IL-2006-CS-ST222,0,1,0,0,,"C181-S_IL-2006-CS-ST222,0,1,0,0","C181-S_IL-2006-CS-ST222,0,1,0,0",,,,C181-S_IL-2006-CS-ST222,#808000,COL#808000
C182-S_IL-2006-CS-ST222,#3c6ff8,COL#3c6ff8,,C182-S_IL-2006-CS-ST222,#800080,COL#800080,,C182-S_IL-2006-CS-ST222,#000075,COL#000075,,C182-S_IL-2006-CS-ST222,#737373,COL#737373,,C182-S_IL-2006-CS-ST222,0,0,0,0,0,0,"C182-S_IL-2006-CS-ST222,0,0,0,0,0,0","C182-S_IL-2006-CS-ST222,0,0,0,0,0,0",,C182-S_IL-2006-CS-ST222,0,1,0,0,,"C182-S_IL-2006-CS-ST222,0,1,0,0","C182-S_IL-2006-CS-ST222,0,1,0,0",,,,C182-S_IL-2006-CS-ST222,#808000,COL#808000
C183-S_NY-2009-CS-ST222,#3c6ff8,COL#3c6ff8,,C183-S_NY-2009-CS-ST222,#800080,COL#800080,,C183-S_NY-2009-CS-ST222,#fabed4,COL#fabed4,,C183-S_NY-2009-CS-ST222,#737373,COL#737373,,C183-S_NY-2009-CS-ST222,0,0,0,0,0,0,"C183-S_NY-2009-CS-ST222,0,0,0,0,0,0","C183-S_NY-2009-CS-ST222,0,0,0,0,0,0",,C183-S_NY-2009-CS-ST222,0,1,0,0,,"C183-S_NY-2009-CS-ST222,0,1,0,0","C183-S_NY-2009-CS-ST222,0,1,0,0",,,,C183-S_NY-2009-CS-ST222,#808000,COL#808000
C184-S_IN-2006-CS-ST289,#984ea3,COL#984ea3,,C184-S_IN-2006-CS-ST289,#800080,COL#800080,,C184-S_IN-2006-CS-ST289,#e6194B,COL#e6194B,,C184-S_IN-2006-CS-ST289,#737373,COL#737373,,C184-S_IN-2006-CS-ST289,100,0,0,0,0,0,"C184-S_IN-2006-CS-ST289,100,0,0,0,0,0","C184-S_IN-2006-CS-ST289,100,0,0,0,0,0",,C184-S_IN-2006-CS-ST289,0,1,1,1,,"C184-S_IN-2006-CS-ST289,0,1,1,1","C184-S_IN-2006-CS-ST289,0,1,1,1",,,,C184-S_IN-2006-CS-ST289,#808000,COL#808000
C185-S_NY-2006-CS-ST289,#984ea3,COL#984ea3,,C185-S_NY-2006-CS-ST289,#800080,COL#800080,,C185-S_NY-2006-CS-ST289,#fabed4,COL#fabed4,,C185-S_NY-2006-CS-ST289,#737373,COL#737373,,C185-S_NY-2006-CS-ST289,0,0,0,0,0,100,"C185-S_NY-2006-CS-ST289,0,0,0,0,0,100","C185-S_NY-2006-CS-ST289,0,0,0,0,0,100",,C185-S_NY-2006-CS-ST289,0,1,0,1,,"C185-S_NY-2006-CS-ST289,0,1,0,1","C185-S_NY-2006-CS-ST289,0,1,0,1",,,,C185-S_NY-2006-CS-ST289,#808000,COL#808000
C186-S_OH-2009-CS-ST222,#3c6ff8,COL#3c6ff8,,C186-S_OH-2009-CS-ST222,#800080,COL#800080,,C186-S_OH-2009-CS-ST222,#ffd8b1,COL#ffd8b1,,C186-S_OH-2009-CS-ST222,#737373,COL#737373,,C186-S_OH-2009-CS-ST222,0,0,0,0,0,0,"C186-S_OH-2009-CS-ST222,0,0,0,0,0,0","C186-S_OH-2009-CS-ST222,0,0,0,0,0,0",,C186-S_OH-2009-CS-ST222,0,1,0,0,,"C186-S_OH-2009-CS-ST222,0,1,0,0","C186-S_OH-2009-CS-ST222,0,1,0,0",,,,C186-S_OH-2009-CS-ST222,#808000,COL#808000
C187-S_RI-2010-CS-ST213,#e41a1c,COL#e41a1c,,C187-S_RI-2010-CS-ST213,#800080,COL#800080,,C187-S_RI-2010-CS-ST213,#dcbeff,COL#dcbeff,,C187-S_RI-2010-CS-ST213,#737373,COL#737373,,C187-S_RI-2010-CS-ST213,0,0,0,0,0,100,"C187-S_RI-2010-CS-ST213,0,0,0,0,0,100","C187-S_RI-2010-CS-ST213,0,0,0,0,0,100",,C187-S_RI-2010-CS-ST213,0,1,0,0,,"C187-S_RI-2010-CS-ST213,0,1,0,0","C187-S_RI-2010-CS-ST213,0,1,0,0",,,,C187-S_RI-2010-CS-ST213,#808000,COL#808000
C188-S_WI-2012-CS-ST213,#e41a1c,COL#e41a1c,,C188-S_WI-2012-CS-ST213,#800080,COL#800080,,C188-S_WI-2012-CS-ST213,#E6FFFF,COL#E6FFFF,,C188-S_WI-2012-CS-ST213,#737373,COL#737373,,C188-S_WI-2012-CS-ST213,0,0,0,0,0,0,"C188-S_WI-2012-CS-ST213,0,0,0,0,0,0","C188-S_WI-2012-CS-ST213,0,0,0,0,0,0",,C188-S_WI-2012-CS-ST213,0,1,0,0,,"C188-S_WI-2012-CS-ST213,0,1,0,0","C188-S_WI-2012-CS-ST213,0,1,0,0",,,,C188-S_WI-2012-CS-ST213,#808000,COL#808000
C189-S_WI-2012-CS-ST213,#e41a1c,COL#e41a1c,,C189-S_WI-2012-CS-ST213,#800080,COL#800080,,C189-S_WI-2012-CS-ST213,#E6FFFF,COL#E6FFFF,,C189-S_WI-2012-CS-ST213,#525252,COL#525252,,C189-S_WI-2012-CS-ST213,100,0,0,0,0,0,"C189-S_WI-2012-CS-ST213,100,0,0,0,0,0","C189-S_WI-2012-CS-ST213,100,0,0,0,0,0",,C189-S_WI-2012-CS-ST213,0,1,1,0,,"C189-S_WI-2012-CS-ST213,0,1,1,0","C189-S_WI-2012-CS-ST213,0,1,1,0",,,,C189-S_WI-2012-CS-ST213,#808000,COL#808000
C190-S_PA-2013-CS-ST213,#e41a1c,COL#e41a1c,,C190-S_PA-2013-CS-ST213,#800080,COL#800080,,C190-S_PA-2013-CS-ST213,#aaffc3,COL#aaffc3,,C190-S_PA-2013-CS-ST213,#525252,COL#525252,,C190-S_PA-2013-CS-ST213,100,0,0,0,0,0,"C190-S_PA-2013-CS-ST213,100,0,0,0,0,0","C190-S_PA-2013-CS-ST213,100,0,0,0,0,0",,C190-S_PA-2013-CS-ST213,0,1,0,0,,"C190-S_PA-2013-CS-ST213,0,1,0,0","C190-S_PA-2013-CS-ST213,0,1,0,0",,,,C190-S_PA-2013-CS-ST213,#808000,COL#808000
C191-S_IL-2011-CS-ST222,#3c6ff8,COL#3c6ff8,,C191-S_IL-2011-CS-ST222,#800080,COL#800080,,C191-S_IL-2011-CS-ST222,#000075,COL#000075,,C191-S_IL-2011-CS-ST222,#525252,COL#525252,,C191-S_IL-2011-CS-ST222,0,0,0,0,0,0,"C191-S_IL-2011-CS-ST222,0,0,0,0,0,0","C191-S_IL-2011-CS-ST222,0,0,0,0,0,0",,C191-S_IL-2011-CS-ST222,0,1,0,0,,"C191-S_IL-2011-CS-ST222,0,1,0,0","C191-S_IL-2011-CS-ST222,0,1,0,0",,,,C191-S_IL-2011-CS-ST222,#808000,COL#808000
C192-S_RI-2012-CS-ST222,#3c6ff8,COL#3c6ff8,,C192-S_RI-2012-CS-ST222,#800080,COL#800080,,C192-S_RI-2012-CS-ST222,#dcbeff,COL#dcbeff,,C192-S_RI-2012-CS-ST222,#525252,COL#525252,,C192-S_RI-2012-CS-ST222,0,0,0,0,0,0,"C192-S_RI-2012-CS-ST222,0,0,0,0,0,0","C192-S_RI-2012-CS-ST222,0,0,0,0,0,0",,C192-S_RI-2012-CS-ST222,0,1,0,0,,"C192-S_RI-2012-CS-ST222,0,1,0,0","C192-S_RI-2012-CS-ST222,0,1,0,0",,,,C192-S_RI-2012-CS-ST222,#808000,COL#808000
C193-S_IL-2012-CS-ST222,#3c6ff8,COL#3c6ff8,,C193-S_IL-2012-CS-ST222,#800080,COL#800080,,C193-S_IL-2012-CS-ST222,#000075,COL#000075,,C193-S_IL-2012-CS-ST222,#525252,COL#525252,,C193-S_IL-2012-CS-ST222,0,0,0,0,0,0,"C193-S_IL-2012-CS-ST222,0,0,0,0,0,0","C193-S_IL-2012-CS-ST222,0,0,0,0,0,0",,C193-S_IL-2012-CS-ST222,0,1,0,0,,"C193-S_IL-2012-CS-ST222,0,1,0,0","C193-S_IL-2012-CS-ST222,0,1,0,0",,,,C193-S_IL-2012-CS-ST222,#808000,COL#808000
C194-S_WI-2012-CS-ST222,#3c6ff8,COL#3c6ff8,,C194-S_WI-2012-CS-ST222,#800080,COL#800080,,C194-S_WI-2012-CS-ST222,#E6FFFF,COL#E6FFFF,,C194-S_WI-2012-CS-ST222,#525252,COL#525252,,C194-S_WI-2012-CS-ST222,0,0,0,0,0,0,"C194-S_WI-2012-CS-ST222,0,0,0,0,0,0","C194-S_WI-2012-CS-ST222,0,0,0,0,0,0",,C194-S_WI-2012-CS-ST222,0,1,0,0,,"C194-S_WI-2012-CS-ST222,0,1,0,0","C194-S_WI-2012-CS-ST222,0,1,0,0",,,,C194-S_WI-2012-CS-ST222,#808000,COL#808000
C195-S_MI-2016-CS-ST222,#3c6ff8,COL#3c6ff8,,C195-S_MI-2016-CS-ST222,#800080,COL#800080,,C195-S_MI-2016-CS-ST222,#42d4f4,COL#42d4f4,,C195-S_MI-2016-CS-ST222,#525252,COL#525252,,C195-S_MI-2016-CS-ST222,0,0,0,0,0,0,"C195-S_MI-2016-CS-ST222,0,0,0,0,0,0","C195-S_MI-2016-CS-ST222,0,0,0,0,0,0",,C195-S_MI-2016-CS-ST222,0,1,0,0,,"C195-S_MI-2016-CS-ST222,0,1,0,0","C195-S_MI-2016-CS-ST222,0,1,0,0",,,,C195-S_MI-2016-CS-ST222,#808000,COL#808000
C196-S_MI-2016-CS-ST222,#3c6ff8,COL#3c6ff8,,C196-S_MI-2016-CS-ST222,#800080,COL#800080,,C196-S_MI-2016-CS-ST222,#42d4f4,COL#42d4f4,,C196-S_MI-2016-CS-ST222,#252525,COL#252525,,C196-S_MI-2016-CS-ST222,0,0,0,0,0,0,"C196-S_MI-2016-CS-ST222,0,0,0,0,0,0","C196-S_MI-2016-CS-ST222,0,0,0,0,0,0",,C196-S_MI-2016-CS-ST222,0,1,0,0,,"C196-S_MI-2016-CS-ST222,0,1,0,0","C196-S_MI-2016-CS-ST222,0,1,0,0",,,,C196-S_MI-2016-CS-ST222,#808000,COL#808000
C197-S_CO-2011-CS-ST222,#3c6ff8,COL#3c6ff8,,C197-S_CO-2011-CS-ST222,#800080,COL#800080,,C197-S_CO-2011-CS-ST222,#808000,COL#808000,,C197-S_CO-2011-CS-ST222,#252525,COL#252525,,C197-S_CO-2011-CS-ST222,0,0,0,0,0,0,"C197-S_CO-2011-CS-ST222,0,0,0,0,0,0","C197-S_CO-2011-CS-ST222,0,0,0,0,0,0",,C197-S_CO-2011-CS-ST222,0,1,0,0,,"C197-S_CO-2011-CS-ST222,0,1,0,0","C197-S_CO-2011-CS-ST222,0,1,0,0",,,,C197-S_CO-2011-CS-ST222,#808000,COL#808000
C198-S_CT-2005-CS-ST276,#9fc5e8,COL#9fc5e8,,C198-S_CT-2005-CS-ST276,#800080,COL#800080,,C198-S_CT-2005-CS-ST276,#469990,COL#469990,,C198-S_CT-2005-CS-ST276,#525252,COL#525252,,C198-S_CT-2005-CS-ST276,0,0,0,0,0,0,"C198-S_CT-2005-CS-ST276,0,0,0,0,0,0","C198-S_CT-2005-CS-ST276,0,0,0,0,0,0",,C198-S_CT-2005-CS-ST276,0,1,0,0,,"C198-S_CT-2005-CS-ST276,0,1,0,0","C198-S_CT-2005-CS-ST276,0,1,0,0",,,,C198-S_CT-2005-CS-ST276,#808000,COL#808000
C199-S_PA-2012-CS-ST213,#e41a1c,COL#e41a1c,,C199-S_PA-2012-CS-ST213,#800080,COL#800080,,C199-S_PA-2012-CS-ST213,#aaffc3,COL#aaffc3,,C199-S_PA-2012-CS-ST213,#969696,COL#969696,,C199-S_PA-2012-CS-ST213,100,0,0,0,0,0,"C199-S_PA-2012-CS-ST213,100,0,0,0,0,0","C199-S_PA-2012-CS-ST213,100,0,0,0,0,0",,C199-S_PA-2012-CS-ST213,0,1,0,0,,"C199-S_PA-2012-CS-ST213,0,1,0,0","C199-S_PA-2012-CS-ST213,0,1,0,0",,,,C199-S_PA-2012-CS-ST213,#808000,COL#808000
C200-S_PA-2013-CS-ST213,#e41a1c,COL#e41a1c,,C200-S_PA-2013-CS-ST213,#800080,COL#800080,,C200-S_PA-2013-CS-ST213,#aaffc3,COL#aaffc3,,C200-S_PA-2013-CS-ST213,#525252,COL#525252,,C200-S_PA-2013-CS-ST213,100,0,0,0,0,0,"C200-S_PA-2013-CS-ST213,100,0,0,0,0,0","C200-S_PA-2013-CS-ST213,100,0,0,0,0,0",,C200-S_PA-2013-CS-ST213,0,1,0,0,,"C200-S_PA-2013-CS-ST213,0,1,0,0","C200-S_PA-2013-CS-ST213,0,1,0,0",,,,C200-S_PA-2013-CS-ST213,#808000,COL#808000
C201-S_PA-2013-CS-ST222,#3c6ff8,COL#3c6ff8,,C201-S_PA-2013-CS-ST222,#800080,COL#800080,,C201-S_PA-2013-CS-ST222,#aaffc3,COL#aaffc3,,C201-S_PA-2013-CS-ST222,#525252,COL#525252,,C201-S_PA-2013-CS-ST222,0,0,0,0,0,0,"C201-S_PA-2013-CS-ST222,0,0,0,0,0,0","C201-S_PA-2013-CS-ST222,0,0,0,0,0,0",,C201-S_PA-2013-CS-ST222,0,1,0,0,,"C201-S_PA-2013-CS-ST222,0,1,0,0","C201-S_PA-2013-CS-ST222,0,1,0,0",,,,C201-S_PA-2013-CS-ST222,#808000,COL#808000
C202-S_WI-2013-CS-ST213,#e41a1c,COL#e41a1c,,C202-S_WI-2013-CS-ST213,#800080,COL#800080,,C202-S_WI-2013-CS-ST213,#E6FFFF,COL#E6FFFF,,C202-S_WI-2013-CS-ST213,#525252,COL#525252,,C202-S_WI-2013-CS-ST213,100,0,0,0,0,0,"C202-S_WI-2013-CS-ST213,100,0,0,0,0,0","C202-S_WI-2013-CS-ST213,100,0,0,0,0,0",,C202-S_WI-2013-CS-ST213,0,1,0,0,,"C202-S_WI-2013-CS-ST213,0,1,0,0","C202-S_WI-2013-CS-ST213,0,1,0,0",,,,C202-S_WI-2013-CS-ST213,#808000,COL#808000
C203-S_WI-2013-CS-ST213,#e41a1c,COL#e41a1c,,C203-S_WI-2013-CS-ST213,#800080,COL#800080,,C203-S_WI-2013-CS-ST213,#E6FFFF,COL#E6FFFF,,C203-S_WI-2013-CS-ST213,#525252,COL#525252,,C203-S_WI-2013-CS-ST213,0,0,0,0,0,0,"C203-S_WI-2013-CS-ST213,0,0,0,0,0,0","C203-S_WI-2013-CS-ST213,0,0,0,0,0,0",,C203-S_WI-2013-CS-ST213,0,1,0,0,,"C203-S_WI-2013-CS-ST213,0,1,0,0","C203-S_WI-2013-CS-ST213,0,1,0,0",,,,C203-S_WI-2013-CS-ST213,#808000,COL#808000
C204-S_MA-2013-CS-ST213,#e41a1c,COL#e41a1c,,C204-S_MA-2013-CS-ST213,#800080,COL#800080,,C204-S_MA-2013-CS-ST213,#ffe119,COL#ffe119,,C204-S_MA-2013-CS-ST213,#525252,COL#525252,,C204-S_MA-2013-CS-ST213,0,0,100,0,0,100,"C204-S_MA-2013-CS-ST213,0,0,100,0,0,100","C204-S_MA-2013-CS-ST213,0,0,100,0,0,100",,C204-S_MA-2013-CS-ST213,0,1,0,0,,"C204-S_MA-2013-CS-ST213,0,1,0,0","C204-S_MA-2013-CS-ST213,0,1,0,0",,,,C204-S_MA-2013-CS-ST213,#808000,COL#808000
C205-S_IL-2013-CS-ST213,#e41a1c,COL#e41a1c,,C205-S_IL-2013-CS-ST213,#800080,COL#800080,,C205-S_IL-2013-CS-ST213,#000075,COL#000075,,C205-S_IL-2013-CS-ST213,#525252,COL#525252,,C205-S_IL-2013-CS-ST213,100,0,0,0,0,0,"C205-S_IL-2013-CS-ST213,100,0,0,0,0,0","C205-S_IL-2013-CS-ST213,100,0,0,0,0,0",,C205-S_IL-2013-CS-ST213,0,1,1,0,,"C205-S_IL-2013-CS-ST213,0,1,1,0","C205-S_IL-2013-CS-ST213,0,1,1,0",,,,C205-S_IL-2013-CS-ST213,#808000,COL#808000
