,C165-O_OH-2013-OC-ST222,C166-O_OH-2013-OC-ST1742,C167-S_MI-2015-CS-ST213,C168-S_MI-2015-CS-ST213,C169-S_MI-2015-CS-ST213,C170-S_MI-2016-CS-ST222,C171-O_MI-2010-OC-ST222,C172-S_CT-2006-CS-ST213,C173-S_NY-2009-CS-ST222,C174-O_MD-2009-OC-ST222,C175-S_IN-2009-CS-ST222,C176-S_RI-2005-CS-ST213,C177-S_IL-2006-CS-ST213,C178-S_CT-2006-CS-ST213,C179-S_ME-2007-CS-ST213,C181-S_IL-2006-CS-ST222,C182-S_IL-2006-CS-ST222,C183-S_NY-2009-CS-ST222,C184-S_IN-2006-CS-ST289,C185-S_NY-2006-CS-ST289,C186-S_OH-2009-CS-ST222,C187-S_RI-2010-CS-ST213,C188-S_WI-2012-CS-ST213,C189-S_WI-2012-CS-ST213,C190-S_PA-2013-CS-ST213,C191-S_IL-2011-CS-ST222,C192-S_RI-2012-CS-ST222,C193-S_IL-2012-CS-ST222,C194-S_WI-2012-CS-ST222,C195-S_MI-2016-CS-ST222,C196-S_MI-2016-CS-ST222,C197-S_CO-2011-CS-ST222,C198-S_CT-2005-CS-ST276,C199-S_PA-2012-CS-ST213,C200-S_PA-2013-CS-ST213,C201-S_PA-2013-CS-ST222,C202-S_WI-2013-CS-ST213,C203-S_WI-2013-CS-ST213,C204-S_MA-2013-CS-ST213,C205-S_IL-2013-CS-ST213,C206-S_WI-2013-CS-ST213,C207-S_WI-2013-CS-ST222,C208-S_MA-2013-CS-ST222,C209-S_MA-2013-CS-ST222,C210-S_IL-2013-CS-ST222,C211-S_IL-2014-CS-ST222,C212-S_IN-2016-CS-ST222,C213-S_PA-2016-CS-ST222,C214-S_NY-2015-CS-ST289,C215-S_OH-1992-CS-ST213,C216-S_IL-1996-CS-ST213,C217-S_OH-2001-CS-ST213,C218-S_RI-2003-CS-ST213,C219-S_OH-2003-CS-ST213,C220-S_RI-2004-CS-ST213,C221-S_CT-2001-CS-ST222,C222-S_OH-2001-CS-ST222,C223-S_VT-2002-CS-ST222,C224-S_OH-2002-CS-ST222,C225-S_IL-2003-CS-ST222,C226-S_IL-2004-CS-ST222,C227-S_OH-1997-CS-ST213,C228-S_PA-1998-CS-ST222,C229-S_OH-2000-CS-ST222,C230-S_MO-2018-CS-ST222,C231-S_IN-2018-CS-ST222,C232-S_OH-2018-CS-STUNK,C233-S_OH-2018-CS-ST222,C234-S_WI-2018-CS-STUNK,C235-S_RI-2019-CS-ST222,C236-S_IN-2019-CS-STUNK,C237-O_NJ-2019-OC-ST222,C238-O_OH-2019-OC-ST222,C239-S_OH-2019-CS-STUNK,C240-S_IL-2019-CS-ST222,C241-S_OH-2019-CS-STUNK,C242-S_OH-2019-CS-ST222,C243-S_OH-2019-CS-ST213,C244-S_OH-2019-CS-ST213,C245-S_OH-2019-CS-STUNK,C246-S_OH-2020-CS-ST213,C247-S_NY-2013-CS-ST213,C248-S_MI-2007-CS-ST213,C249-S_MN-2005-CS-ST213,C250-S_MN-2005-CS-ST213,C251-S_MN-2008-CS-ST213,C252-S_MN-2008-CS-ST213,C253-S_MN-2015-CS-ST213,C254-S_MN-2017-CS-ST213,C255-S_MN-2017-CS-ST213,C256-S_MN-2018-CS-ST213,C257-S_IN-2019-CS-ST213,C258-S_MI-2012-CS-ST213,C259-S_MI-2013-CS-ST213,C260-S_MI-2013-CS-ST213,C261-S_MI-2013-CS-ST213,C262-S_MI-2013-CS-ST213,C263-S_MI-2014-CS-ST213,C264-S_MI-2016-CS-ST213,C265-S_MI-2017-CS-ST213,C266-S_MI-2018-CS-ST213,C267-S_MI-2019-CS-ST213,C268-S_MI-2019-CS-ST213,C269-S_MI-2019-CS-ST213,C270-S_NY-2016-CS-ST213,C271-S_NY-2017-CS-ST213,C272-S_NY-2017-CS-ST213,C273-S_NY-2018-CS-ST213,C275-S_MA-2007-CS-ST213,C276-S_MA-2011-CS-ST213,C277-S_NY-2017-CS-ST213,C278-S_NY-2013-CS-ST213,C279-S_NY-2016-CS-ST213,C280-S_MN-2008-CS-ST213,C281-S_MN-2018-CS-ST213,C282-S_MN-2018-CS-ST213,C283-S_MN-2018-CS-ST213,C284-S_MN-2018-CS-ST213,C285-S_MN-2019-CS-ST213,C286-S_MN-2019-CS-ST213,C287-S_MN-2019-CS-ST213,C288-S_MN-2019-CS-ST213,C290-S_CO-2018-CS-ST222,C291-O_OH-2013-OC-ST222,C292-S_IN-2018-CS-ST222,C293-S_MN-2013-CS-ST222,C294-S_MN-2019-CS-ST222,C295-S_MN-2019-CS-ST222,C296-S_MI-2010-CS-ST222,C297-S_MI-2013-CP-ST222,C298-S_MI-2013-CP-ST222,C299-S_MI-2013-CP-ST222,C300-S_MI-2013-CS-ST222,C301-S_MI-2013-CS-ST222,C302-S_MI-2013-CS-ST222,C303-S_MI-2013-CS-ST222,C304-S_MI-2014-CS-ST222,C305-S_MI-2015-CS-ST222,C306-S_MI-2015-CS-ST222,C307-S_MI-2016-CS-ST222,C308-S_MI-2016-CS-ST222,C309-S_MI-2016-CS-ST222,C310-S_MI-2017-CS-ST222,C311-S_MI-2018-CS-ST222,C312-S_MI-2018-CS-ST222,C313-S_MI-2018-CS-ST222,C314-S_MI-2018-CS-ST222,C315-S_MI-2018-CS-ST222,C316-S_MI-2019-CS-ST222,C317-S_MI-2019-CS-ST222,C318-S_MI-2019-CS-ST222,C319-S_MI-2019-CS-ST222,C320-S_MI-2019-CS-ST222,C321-S_MI-2020-CS-ST222,C322-S_CO-2011-CS-ST222,C323-S_CO-2017-CS-ST222,C324-S_CO-2018-CS-ST222,C325-S_NY-2016-CS-ST222,C326-S_NY-2016-CS-ST222,C327-S_NY-2016-CS-ST222,C328-S_NY-2017-CS-ST222,C329-S_NY-2017-CS-ST222,C330-S_NY-2017-CS-ST222,C331-S_NY-2017-CS-ST222,C332-S_NY-2017-CS-ST222,C333-S_NY-2017-CS-ST222,C334-S_NY-2017-CS-ST222,C335-S_NY-2017-CS-ST222,C336-S_NY-2017-CS-ST222,C337-S_NY-2017-CS-ST222,C338-S_NY-2016-CS-ST222,C339-S_NY-2018-CS-ST222,C340-S_NY-2017-CS-ST222,C341-S_NY-2015-CS-ST222,C342-S_NY-2015-CS-ST222,C343-S_NY-2012-CS-ST222,C344-S_NY-2016-CS-ST222,C345-S_MN-2018-CS-ST222,C346-S_IN-2017-CS-STUNK,C347-S_MN-2018-CS-STUNK,C348-S_MN-2019-CS-STUNK,C349-S_MI-2018-CS-STUNK,C350-S_MI-2019-CS-STUNK,C351-S_MI-2019-CS-STUNK,C352-S_MI-2019-CS-STUNK,C353-S_MI-2019-CS-STUNK,C354-S_NY-2018-CS-STUNK,C355-S_NY-2018-CS-STUNK,C356-S_NY-2018-CS-STUNK,C357-S_NY-2018-CS-STUNK,C358-S_NY-2018-CS-STUNK,C359-S_MN-2019-CS-STUNK,C360-S_MN-2019-CS-STUNK,C361-S_MN-2019-CS-STUNK,C362-S_MN-2019-CS-STUNK,C363-S_MN-2019-CS-STUNK,C364-S_MN-2019-CS-STUNK,C365-S_MN-2014-CS-ST227,C366-S_MN-2016-CS-ST227,C367-S_IN-2016-CS-ST289,E155-O_OH-2013-OE-ST222,E156-O_OH-2013-OE-ST222,E157-O_OH-2013-OE-ST222,E159-O_OH-2013-OE-ST222,E160-O_OH-2013-OE-ST222,E161-O_MI-2010-OE-ST222,E162-O_MI-2010-OE-ST222,E163-O_MI-2010-OE-ST222,E164-O_MI-2010-OE-ST222,E165-O_VT-2002-OE-ST222,E166-O_VT-2002-OE-ST222,E167-O_MD-2009-OE-ST222,E168-O_MD-2009-OE-ST222,E169-O_MD-2009-OE-ST222,E170-O_MD-2009-OE-ST222,E171-O_MD-2009-OE-ST222,E172-O_PA-2009-OE-ST222,E173-O_IL-2018-OE-ST213,E174-O_OH-2013-OE-ST222,U1-U_MA-UNK-UNK-STUNK,U11-U_NY-Unknown-UNK-STUNK,U12-U_NY-Unknown-UNK-ST2517,U2-U_MA-2016-UNK-ST213,U3-U_MA-UNK-UNK-STUNK,U4-U_MA-UNK-UNK-STUNK,U5-U_MA-UNK-UNK-STUNK,U6-U_MA-UNK-UNK-STUNK,U7-U_MN-2018-UNK-ST213,U8-U_NY-Unknown-UNK-ST213,U9-U_MI-2016-UNK-ST222
C247-S_NY-2013-CS-ST213,99.856,99.8541,99.9658,99.9603,99.769,99.8427,99.8427,99.913,99.8362,99.8255,99.7886,99.96,99.9219,99.9121,99.9294,99.8473,99.7633,99.8255,99.8908,99.8592,99.8344,99.9659,99.9059,99.9721,99.966,99.8373,99.7332,99.8376,99.8579,99.8403,99.6595,99.7706,99.6915,99.9647,99.9666,99.8583,99.9284,99.9106,99.9346,99.9699,99.9057,99.8311,99.8181,99.7068,99.7479,99.8561,99.7866,99.7654,99.8488,99.9075,99.8913,99.9517,99.9613,99.9724,99.9376,99.7599,99.7935,99.7972,99.8528,99.7185,99.7945,99.9543,99.7341,99.7917,99.8133,99.7781,99.8906,99.8534,99.8493,99.7171,99.8898,99.7963,99.8131,99.8873,99.794,99.9432,99.8276,99.983,99.962,99.9516,99.9165,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C248-S_MI-2007-CS-ST213,99.7708,99.7702,99.9382,99.9419,99.9581,99.8008,99.8262,99.9318,99.7942,99.8647,99.7654,99.9682,99.949,99.9381,99.9412,99.7803,99.6942,99.8301,99.8583,99.7794,99.8062,99.9315,99.8732,99.8047,99.939,99.8527,99.8293,99.8038,99.7288,99.7855,99.675,99.829,99.681,99.9369,99.9391,99.7273,99.9476,99.9094,99.9667,99.8241,99.8429,99.7877,99.7683,99.8276,99.8288,99.8401,99.729,99.7746,99.8548,99.854,99.8595,99.9458,99.9514,99.9346,99.9705,99.8209,99.7961,99.8325,99.8126,99.6964,99.8311,99.9184,99.8298,99.6999,99.7651,99.7574,99.9378,99.7276,99.8252,99.8369,99.8772,99.8323,99.7936,99.937,99.6922,99.9509,99.8098,99.8962,99.9691,99.9638,99.9116,99.9344,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C249-S_MN-2005-CS-ST213,99.7844,99.7805,99.935,99.896,99.8806,99.7528,99.7524,99.8925,99.755,99.8072,99.7384,99.9632,99.8939,99.8903,99.9328,99.8247,99.6895,99.8139,99.8011,99.727,99.7107,99.8879,99.8396,99.8432,99.8903,99.8197,99.8243,99.7998,99.7674,99.7346,99.6693,99.798,99.6624,99.8905,99.8884,99.7722,99.8983,99.8801,99.9382,99.8393,99.8431,99.7239,99.7688,99.7973,99.7711,99.8067,99.7104,99.7259,99.8109,99.8546,99.8226,99.8595,99.9108,99.9306,99.9412,99.7908,99.7638,99.823,99.7662,99.6785,99.8239,99.8586,99.8226,99.6611,99.7606,99.7292,99.9327,99.764,99.7688,99.8155,99.7769,99.803,99.7118,99.89,99.7187,99.8538,99.7361,99.9004,99.9341,99.9613,99.8803,99.9217,99.8895,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C250-S_MN-2005-CS-ST213,99.7841,99.7818,99.9364,99.8954,99.8798,99.7531,99.7532,99.8929,99.7541,99.8075,99.739,99.9617,99.8925,99.8903,99.9319,99.8255,99.6844,99.8148,99.799,99.7214,99.7573,99.8874,99.84,99.8432,99.8915,99.8211,99.8236,99.7997,99.7673,99.7334,99.6677,99.7997,99.6625,99.8905,99.8916,99.7722,99.8997,99.8788,99.9385,99.8392,99.836,99.7237,99.7642,99.7995,99.7704,99.8082,99.7104,99.7241,99.8116,99.847,99.8158,99.861,99.9107,99.9311,99.9408,99.7918,99.7645,99.8245,99.7679,99.6425,99.8254,99.8621,99.8248,99.6576,99.7639,99.7313,99.936,99.7656,99.7697,99.8111,99.812,99.8049,99.7156,99.8905,99.7219,99.8544,99.7356,99.9002,99.9345,99.9632,99.8819,99.9231,99.8897,99.9967,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C251-S_MN-2008-CS-ST213,99.8534,99.8516,99.9684,99.9929,99.9678,99.845,99.8483,99.9797,99.8529,99.8405,99.7727,99.9946,99.9258,99.9815,99.9652,99.8546,99.7292,99.8474,99.8973,99.8154,99.8326,99.976,99.9446,99.9115,99.9792,99.8503,99.8578,99.8451,99.838,99.8283,99.7008,99.8305,99.685,99.9811,99.9783,99.8384,99.9317,99.9137,99.9715,99.907,99.8702,99.8089,99.7937,99.83,99.8021,99.8407,99.7702,99.8073,99.9067,99.8807,99.8519,99.9569,99.9432,99.9619,99.9736,99.8228,99.8582,99.8556,99.8581,99.675,99.8556,99.9569,99.8586,99.7461,99.795,99.7617,99.9662,99.8367,99.8036,99.8481,99.892,99.8386,99.8091,99.9765,99.7653,99.945,99.8266,99.9609,99.965,99.994,99.9747,99.9597,99.9703,99.9599,99.9604,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C252-S_MN-2008-CS-ST213,99.779,99.7765,99.9572,99.9223,99.8948,99.8551,99.8463,99.8338,99.7982,99.8558,99.8022,99.8887,99.9578,99.8482,99.9402,99.7819,99.7783,99.849,99.8754,99.7486,99.7477,99.8999,99.86,99.8919,99.9806,99.8497,99.7843,99.8207,99.7704,99.8085,99.6712,99.8059,99.7034,99.9698,99.9771,99.7628,99.9735,99.9146,99.8614,99.8896,99.9341,99.7984,99.8102,99.7975,99.7515,99.851,99.7076,99.7278,99.8223,99.8933,99.9333,99.9162,99.8807,99.9668,99.8789,99.7325,99.7535,99.8061,99.847,99.769,99.7962,99.9399,99.7948,99.7981,99.799,99.7846,99.9219,99.7678,99.8812,99.7902,99.9028,99.8391,99.7853,99.9479,99.7363,99.9567,99.7958,99.9149,99.9844,99.9698,99.8878,99.8812,99.9553,99.8669,99.8783,99.9601,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C253-S_MN-2015-CS-ST213,99.8653,99.8646,99.9569,99.9166,99.8925,99.8453,99.8512,99.9178,99.8526,99.8419,99.798,99.9198,99.9266,99.923,99.8873,99.8532,99.7182,99.8427,99.9015,99.8069,99.8367,99.9152,99.8677,99.9929,99.9747,99.8536,99.797,99.8429,99.8642,99.8469,99.6237,99.7663,99.7101,99.9775,99.9711,99.8648,99.9467,99.9929,99.8944,99.9907,99.8578,99.8384,99.7749,99.7684,99.7367,99.8641,99.7932,99.7296,99.8384,99.8725,99.8491,99.961,99.9659,99.977,99.8963,99.7599,99.7856,99.7965,99.8645,99.6372,99.7943,99.9595,99.797,99.7467,99.8197,99.7884,99.8912,99.8638,99.8834,99.7863,99.9577,99.8645,99.8217,99.975,99.7967,99.9483,99.8361,99.9848,99.9706,99.9134,99.9128,99.9804,99.8931,99.8819,99.8822,99.9192,99.9742,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C254-S_MN-2017-CS-ST213,99.8648,99.8628,99.9246,99.8859,99.8512,99.826,99.8286,99.8337,99.8233,99.8385,99.7978,99.8868,99.9314,99.8314,99.863,99.836,99.7263,99.832,99.867,99.8042,99.8148,99.8954,99.8351,99.9293,99.9469,99.8461,99.7701,99.8452,99.8418,99.8509,99.5923,99.7667,99.7146,99.9487,99.9464,99.8463,99.9555,99.9462,99.8998,99.9689,99.8508,99.8396,99.7561,99.767,99.7516,99.8627,99.7966,99.705,99.8154,99.843,99.8483,99.9562,99.9599,99.9522,99.9107,99.6957,99.7622,99.7704,99.8418,99.6788,99.7702,99.9546,99.7684,99.7231,99.7988,99.7829,99.8832,99.8416,99.875,99.784,99.9568,99.8653,99.826,99.9459,99.7816,99.945,99.8363,99.9946,99.9718,99.8764,99.8878,99.9555,99.8831,99.8524,99.8527,99.8875,99.9596,99.9709,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C255-S_MN-2017-CS-ST213,99.8509,99.8477,99.9692,99.9714,99.9805,99.8242,99.8476,99.9811,99.8286,99.8388,99.7635,99.9702,99.951,99.9544,99.94,99.8291,99.7742,99.8462,99.8906,99.8566,99.8116,99.953,99.9195,99.8907,99.9513,99.8497,99.8539,99.8448,99.8042,99.8125,99.674,99.831,99.6794,99.9741,99.9521,99.8303,99.9322,99.914,99.9692,99.9071,99.8921,99.7963,99.8119,99.8295,99.8252,99.8384,99.7872,99.7804,99.8998,99.8999,99.9041,99.9783,99.9426,99.95,99.9728,99.8177,99.8562,99.8296,99.8562,99.7412,99.8539,99.9544,99.8296,99.7881,99.762,99.7762,99.959,99.822,99.8033,99.8409,99.8827,99.8298,99.812,99.9489,99.756,99.9452,99.8521,99.9555,99.968,99.9587,99.9494,99.9256,99.9666,99.9587,99.9355,99.9911,99.9568,99.9075,99.8774,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C256-S_MN-2018-CS-ST213,99.751,99.7494,99.9699,99.9264,99.9621,99.8031,99.8312,99.9473,99.792,99.8402,99.7954,99.9709,99.9269,99.9256,99.9406,99.802,99.7053,99.8374,99.8578,99.7479,99.7437,99.9369,99.8465,99.8128,99.9421,99.8402,99.8436,99.8171,99.7382,99.7866,99.6761,99.8587,99.6856,99.968,99.9424,99.7671,99.9555,99.9134,99.9698,99.8082,99.8686,99.7849,99.796,99.8427,99.8014,99.8156,99.7324,99.7624,99.8512,99.8396,99.8647,99.944,99.9541,99.9638,99.9716,99.8507,99.8221,99.8325,99.8451,99.7008,99.8584,99.9181,99.8188,99.7341,99.7701,99.767,99.9432,99.7629,99.8014,99.8238,99.8627,99.8277,99.7964,99.9413,99.733,99.9252,99.8108,99.901,99.9705,99.9943,99.9183,99.9316,99.9544,99.9023,99.8799,99.9962,99.9427,99.9194,99.9098,99.9641,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C257-S_IN-2019-CS-ST213,99.7892,99.7895,99.9754,99.9325,99.9088,99.8594,99.8624,99.8807,99.8074,99.8359,99.775,99.9798,99.9363,99.8818,99.9498,99.8082,99.7451,99.8431,99.8593,99.8306,99.8196,99.9922,99.8708,99.9051,99.9935,99.8485,99.8129,99.8311,99.7732,99.7969,99.6793,99.7904,99.6907,99.9931,99.9927,99.7735,99.9477,99.9608,99.9417,99.9024,99.9262,99.806,99.8225,99.7875,99.7635,99.8627,99.7099,99.7559,99.8294,99.9377,99.9139,99.9263,99.9537,99.9785,99.9585,99.7184,99.7789,99.8153,99.8697,99.7744,99.8147,99.9253,99.8125,99.8153,99.8016,99.7641,99.9169,99.7788,99.8692,99.7972,99.8864,99.8483,99.7793,99.9894,99.7444,99.9369,99.7934,99.9032,99.9769,99.9735,99.9,99.9651,99.9374,99.887,99.8893,99.978,99.9806,99.9761,99.947,99.941,99.9398,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C258-S_MI-2012-CS-ST213,99.7899,99.788,99.9797,99.9357,99.9101,99.8613,99.8644,99.8844,99.8114,99.842,99.7755,99.981,99.9379,99.8878,99.9526,99.8049,99.7526,99.8448,99.8588,99.8376,99.8225,99.9907,99.8716,99.9053,99.9923,99.8532,99.8163,99.8302,99.7734,99.7975,99.6837,99.7893,99.6898,99.9931,99.9906,99.7724,99.9461,99.9604,99.9392,99.9011,99.9319,99.8077,99.8237,99.7921,99.7635,99.8628,99.7099,99.7553,99.8286,99.9445,99.9289,99.9288,99.9534,99.9768,99.958,99.723,99.7793,99.8199,99.8694,99.7781,99.8186,99.9255,99.8158,99.8194,99.8005,99.7625,99.9169,99.7769,99.8669,99.8051,99.8902,99.8471,99.7793,99.9915,99.7441,99.9347,99.7925,99.9074,99.9766,99.9718,99.8982,99.9678,99.9392,99.8865,99.8885,99.9803,99.9785,99.9736,99.9448,99.9698,99.9401,99.9911,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C259-S_MI-2013-CS-ST213,99.858,99.8557,99.9509,99.9468,99.9043,99.8394,99.8671,99.8515,99.8216,99.8624,99.7788,99.9441,99.9725,99.8542,99.9167,99.852,99.7892,99.83,99.8949,99.8742,99.8207,99.9503,99.8925,99.947,99.9568,99.8515,99.7863,99.824,99.8209,99.8389,99.6496,99.7861,99.6947,99.9551,99.9542,99.8202,99.9543,99.9536,99.9279,99.9653,99.9327,99.8164,99.7973,99.7848,99.7805,99.8543,99.8042,99.7389,99.8357,99.9149,99.926,99.985,99.9594,99.9434,99.9469,99.7178,99.7844,99.7925,99.8354,99.8004,99.7922,99.9571,99.7877,99.7831,99.7771,99.7693,99.9128,99.8144,99.8803,99.7972,99.8984,99.8192,99.8399,99.9535,99.7558,99.9881,99.8578,99.9687,99.9885,99.9405,99.9084,99.942,99.9676,99.9091,99.9095,99.9438,99.9747,99.9443,99.9387,99.9426,99.9397,99.9541,99.9806,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C260-S_MI-2013-CS-ST213,99.7631,99.7613,99.9556,99.9046,99.9165,99.8372,99.8382,99.8549,99.787,99.8377,99.8039,99.9515,99.9362,99.8574,99.9217,99.8085,99.7307,99.8377,99.8604,99.8135,99.7968,99.9618,99.8406,99.8794,99.9673,99.8405,99.7895,99.8127,99.7523,99.8032,99.6535,99.8113,99.6952,99.9701,99.9688,99.7551,99.971,99.9346,99.9323,99.8753,99.936,99.8114,99.8024,99.8083,99.7575,99.8357,99.7389,99.744,99.822,99.9179,99.9082,99.925,99.9443,99.9538,99.9527,99.7448,99.7502,99.7903,99.8472,99.7667,99.7893,99.9261,99.7866,99.7956,99.7771,99.7719,99.8899,99.756,99.8653,99.8107,99.888,99.8536,99.7857,99.969,99.7263,99.9326,99.8193,99.9097,99.9805,99.973,99.8742,99.9478,99.9321,99.8579,99.8581,99.9491,99.9817,99.9517,99.9474,99.9414,99.9588,99.9672,99.9686,99.9814,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C261-S_MI-2013-CS-ST213,99.7775,99.7781,99.9464,99.9248,99.8779,99.8088,99.7989,99.8094,99.8035,99.8446,99.8005,99.9675,99.9792,99.8221,99.937,99.7944,99.747,99.8535,99.8948,99.8477,99.7853,99.9353,99.8531,99.8874,99.9373,99.85,99.783,99.8086,99.7678,99.8495,99.6672,99.8018,99.7019,99.9235,99.9336,99.7543,99.9695,99.932,99.9495,99.8901,99.9269,99.7917,99.8043,99.7984,99.7801,99.8538,99.7336,99.7255,99.8722,99.9088,99.9086,99.9419,99.96,99.9603,99.9682,99.73,99.7687,99.8003,99.7982,99.7891,99.7876,99.968,99.7971,99.7417,99.7972,99.7879,99.9031,99.7589,99.877,99.7919,99.8746,99.8363,99.8261,99.9316,99.7293,99.9376,99.8104,99.9038,99.987,99.9674,99.9024,99.9649,99.9323,99.8546,99.8694,99.9539,99.9351,99.9565,99.9549,99.9715,99.9305,99.9359,99.9244,99.9764,99.94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C262-S_MI-2013-CS-ST213,99.7624,99.76,99.9788,99.9111,99.9179,99.8378,99.8631,99.887,99.7895,99.8389,99.8003,99.9549,99.9346,99.8589,99.9253,99.8067,99.7489,99.8373,99.8569,99.8079,99.798,99.9653,99.8431,99.8771,99.9677,99.8396,99.8182,99.8307,99.7519,99.7965,99.6611,99.8144,99.6883,99.9906,99.9677,99.7758,99.9693,99.9578,99.9382,99.8731,99.9275,99.8071,99.8204,99.8154,99.7638,99.8371,99.7355,99.7346,99.8069,99.9176,99.9127,99.9209,99.9497,99.9764,99.9586,99.7477,99.7807,99.795,99.8696,99.805,99.8196,99.9235,99.7901,99.819,99.7742,99.7661,99.9138,99.7772,99.862,99.7981,99.8848,99.8473,99.7759,99.9651,99.7473,99.9318,99.8173,99.9044,99.9772,99.9686,99.8752,99.9397,99.9357,99.8874,99.8615,99.9787,99.9782,99.9698,99.942,99.9481,99.9609,99.9636,99.9907,99.9813,99.9922,99.9382,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
